position,team,gp,w,d,l,gf,ga,gd,pts
1,Internazionale,28,22,1,5,64,22,42,67
2,AC Milan,28,17,9,2,44,20,24,60
3,Napoli,28,17,5,6,43,29,14,56
4,Como,28,14,9,5,46,21,25,51
5,AS Roma,28,16,3,9,38,21,17,51
6,Juventus,28,14,8,6,50,28,22,50
7,Atalanta,28,12,10,6,39,26,13,46
8,Bologna,28,11,6,11,37,34,3,39
9,Sassuolo,27,11,5,11,34,36,-2,38
10,Udinese,28,10,6,12,33,41,-8,36
11,Lazio,27,8,10,9,26,27,-1,34
12,Parma,28,8,10,10,20,32,-12,34
13,Genoa,28,7,9,12,34,40,-6,30
14,Cagliari,28,7,9,12,30,38,-8,30
15,Torino,28,8,6,14,28,49,-21,30
16,Lecce,28,7,6,15,20,37,-17,27
17,Fiorentina,28,5,10,13,30,42,-12,25
18,Cremonese,28,5,9,14,22,40,-18,24
19,Hellas Verona,28,3,9,16,22,49,-27,18
20,Pisa,28,1,12,15,20,48,-28,15
