position,team,gp,w,d,l,gf,ga,gd,pts
1,Barcelona,27,22,1,4,72,26,46,67
2,Real Madrid,27,20,3,4,56,23,33,63
3,Atlético Madrid,27,16,6,5,46,25,21,54
4,Villarreal,27,17,3,7,50,32,18,54
5,Real Betis,27,11,10,6,42,34,8,43
6,Celta Vigo,27,10,10,7,37,30,7,40
7,Espanyol,26,10,6,10,33,39,-6,36
8,Real Sociedad,27,9,8,10,40,41,-1,35
9,Getafe,27,10,5,12,23,29,-6,35
10,Athletic Club,27,10,5,12,30,37,-7,35
11,Osasuna,27,9,7,11,32,32,0,34
12,Rayo Vallecano,27,7,10,10,27,33,-6,31
13,Sevilla,27,8,7,12,35,42,-7,31
14,Girona,27,7,10,10,28,43,-15,31
15,Valencia,26,7,8,11,27,39,-12,29
16,Alavés,26,7,6,13,23,34,-11,27
17,Elche,27,5,11,11,35,41,-6,26
18,Mallorca,27,6,7,14,31,44,-13,25
19,Levante,27,5,7,15,29,45,-16,22
20,Real Oviedo,26,3,8,15,16,43,-27,17
