position,team,gp,w,d,l,gf,ga,gd,pts
1,Bayern Munich,25,21,3,1,92,24,68,66
2,Borussia Dortmund,25,16,7,2,53,26,27,55
3,TSG Hoffenheim,25,15,4,6,53,33,20,49
4,VfB Stuttgart,25,14,5,6,50,34,16,47
5,RB Leipzig,25,14,5,6,48,34,14,47
6,Bayer Leverkusen,25,13,5,7,48,32,16,44
7,Eintracht Frankfurt,25,9,8,8,48,49,-1,35
8,SC Freiburg,25,9,7,9,37,42,-5,34
9,FC Augsburg,25,9,4,12,31,43,-12,31
10,Hamburg SV,25,7,8,10,28,36,-8,29
11,1. FC Union Berlin,24,7,7,10,29,38,-9,28
12,Borussia Mönchengladbach,25,6,7,12,28,43,-15,25
13,FC Cologne,25,6,6,13,34,43,-9,24
14,Mainz,25,5,9,11,29,41,-12,24
15,St. Pauli,25,6,6,13,23,40,-17,24
16,Werder Bremen,24,5,7,12,25,44,-19,22
17,VfL Wolfsburg,25,5,5,15,34,55,-21,20
18,1. FC Heidenheim 1846,25,3,5,17,24,57,-33,14
